id,name,categories,price,weight
bcde2c77-bc91-4449-b9b8-2bf5899a2c79,"Crayola Glitter Glue Bulk, 20 Count Classpack, Washable Craft Glue, 5 Assorted Colors",Toys & Games | Arts & Crafts | Adhesives,12.35,7.3
ee384f7e-79e8-4039-b2a6-fc3983c8b95b,Redcat Racing Fuel Tank,Remote & App Controlled Vehicle Parts | Power Plant & Driveline Systems | Combustion Engines & Parts | Fuel System Parts,144302.08,
4d9beb02-ff89-4433-b358-43ec4de6f9d4,"MightySkins Skin Compatible with Yuneec H520-G Quadcopter Drone - Pink Trooper Storm | Protective, Durable, and Unique Vinyl wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA",Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicles | Quadcopters & Multirotors,39.99,0.96
cf9dabe0-3ab3-4371-838f-3791d5a69844,Daron Ups Box Truck 1/50 Gwups001,Toys & Games | Play Vehicles | Die-Cast Vehicles,13.55,2.4
cb22fc79-e6d7-4826-8ee2-e68efed8d381,WowWee Fingerlings Baby Elephant - Nina (Pink) - Interactive Toy,Toys & Games | Puppets & Puppet Theaters | Finger Puppets,9.89,7.8
39439893-5845-4693-aa24-0ba77e73e68b,LEGO DUPLO My First Animal Brick Box 10863 Building Blocks (34 Pieces),Toys & Games | Building Toys | Building Sets,29.99,2.15
df04ed01-20a3-43ee-a0c1-2126f04a0dcc,"Barbie Fairytale Dress Up, Blonde (Packaging May Vary)",Toys & Games | Dolls & Accessories | Dolls,19.99,13.6
c474693c-714b-42c9-9c9a-c942cf37327b,"American Greetings 013051645144 Party Favor, 8-Count, Paper Tiaras",,6.03,2.4
2184433f-f2b3-4bc1-be36-491fb9952a97,"Glitter Girls Dolls by Battat - Nelly 14"" Poseable Fashion Doll - Dolls for Girls Age 3 & Up",Toys & Games | Dolls & Accessories | Dolls,111663.5,1.05
4a73c6fa-8156-46c1-a821-7f59f523b847,"Pacon Riverside 3D Construction Paper, White, 9"" x 12"", 50 Sheets Per Pack, 10 Packs","Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper | Construction Paper",7.11,6.0
5ad6d1ec-dfbe-489a-8883-3e21f4dfeb25,Indie Boards and Cards Flash Point Fire Rescue 2nd Story,Toys & Games | Games & Accessories | Board Games,2263.49,1.19
dc8b4ff1-900e-4923-bf3b-f645c380657b,Melissa & Doug Vehicles Sound Blocks 6-in-1 Puzzle With Wooden Tray,Toys & Games | Puzzles | Pegged Puzzles,68451.48,
9225d550-b336-4630-ab0b-821741ea7cca,"12 White Vampire Fangs, Plastic Teeth, Costume Accessory Party Favors","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",19225.2,2.4
fc385180-4f72-4093-accb-4fc9cf44ae2d,Family Feud Trivia Box Card Game,Toys & Games | Games & Accessories | Card Games | Collectible Card Games,20.0,
d7c1ddde-72a9-4acb-987c-7f248881c558,Fluxx 5.0 Card Game,Toys & Games | Games & Accessories | Card Games,14.99,
20c2003f-5d31-4fd0-b680-4ca63af7c9a3,Amscan Halloween Boo‑Yah! Yd Signs,Home & Kitchen | Kitchen & Dining | Bakeware | Decorating Tools | Wrapping & Packaging,9.89,11.2
b76a0c8b-01d9-4ec7-b354-d5858226723d,Funko Pop! Animation: Simpsons - Lisa-Saxophone,,5.99,3.52
b9944143-84c1-4018-a4a6-c307b6597444,"Rubie's DC Comics Justice League Superhero Style Teen Dress with Cape Rhinestone Wonder Woman, Red, Small Costume","Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Costumes & Cosplay Apparel | Costumes",135674.19,7.2
671cf7d6-ed8d-4055-b6bf-276d581084f3,"Capsule Chix Ultimix 4 Pack, 4.5 inch Small Doll with Capsule Machine Unboxing and Mix and Match Fashions and Accessories",Toys & Games | Dolls & Accessories | Dolls,28.38,3.04
5cfc4c59-33a8-4dc5-b5f5-e158a7b90da8,"Design with Vinyl Moti 1936 1 Have Fun Daycare Preschool School Kids Playroom Boy Girl Peel & Stick Wall Sticker Decal, 6 x 24"", Black",Baby Products | Nursery | Décor | Wall Décor | Stickers,17.94,3.52
784815b2-ec00-406b-989c-42c825263726,Hot Wheels Tidy Town Storage Car,Toys & Games | Play Vehicles | Die-Cast Vehicles,84960.0,1.0
743c2dd5-7ba5-4fdd-b53e-17d982cff208,"Noch 26929 Snow Fir Trees 5-9Cm 5/ H0,Tt Scale Model Kit",Toys & Games | Hobbies | Trains & Accessories | Accessories,730719280.72,0.64
59cbd091-642b-44a9-b6ca-b9cbd28dba28,"HMS Unisex-Adult's Supersoft Junior Dragon Tail-GN, Green, One Size",,15.0,2.88
393efdc9-0bc3-447b-b888-ea837b75c209,Rubie's Costume Nomi Boxy Girls Child Costume,,135441.88,1.0
02a5ff76-eef7-4d8c-9b36-b52b41ed8987,Smash Up: Monster Smash,Toys & Games | Games & Accessories | Board Games,18.0,12.8
1c0fb70d-c4da-4dd4-9657-5e93c1dde4a1,"Paw Patrol Plush Pup Pals, Rubble",Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,10.94,3.2
5e04e53c-2f38-4912-8f12-c49118d62609,Old Soles Kid's Gabrielle Mary Jane,"Clothing, Shoes & Jewelry | Girls | Shoes | Flats",44.0,2.0
528c5ee4-0f39-4382-a35c-6b8ec3499512,Italeri WW2 British 8th Army (#6077),Toys & Games | Hobbies | Models & Model Kits | Model Kits | Figure Kits,19.19,2.88
fafd7c21-825b-4018-add4-6d727f9d049a,AMERICAN GREETINGS Rainbow Latex Balloons| Pack of 20 | Party Decor,Home & Kitchen | Home Décor | Candles & Holders | Candles | Specialty Candles | Birthday Candles,10.17,1.6
fb889414-fb13-4aef-a58e-a2fd38b1c496,RPM 73162 Axle Carriers Black 1/16 Traxxas Black,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Power Plant & Driveline Systems | Axles,1026.21,
30e7a48f-69b2-43d8-9e39-580ea444560f,Learning Resources SnapnLearn Number Bugs,Toys & Games | Learning & Education | Counting & Math Toys,18.99,1.3
e8e72f4b-9649-414c-9282-c09c9b079417,"Perplexus Revolution Runner, Motorized Perpetual Motion 3D Maze Game, for Ages 9 and Up",Toys & Games | Puzzles | Brain Teasers,41.41,2.2
7e2f2c24-99d0-412b-be8e-d6de68f4f166,"Tamiya TAM58547 The Midnight Pumpkin, Black Edition 1/12 Monster Truck Kit, Brown",Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicles | Cars,160.2,5.38
5790c130-08d4-482b-a357-58b06d8ffaa1,"Miniland Educational - 12.63'' Anatomically Correct Newborn Baby Doll, Asian Boy",Toys & Games | Dolls & Accessories | Dolls,2050458236.64,11.2
3c143454-3199-44cb-88ef-65cfa7e150ef,Rawlings Sporting Goods Senior Velo Sized Softball Helmet,Sports & Outdoors | Sports & Fitness | Team Sports | Baseball | Protective Gear | Batting Helmets,41.63,2.8
ed833c74-226f-47b9-adba-7bc27b2160f9,"Tachikara. STMB Tetherball, Lime Green/Blue/Orange",Sports & Outdoors | Sports & Fitness | Leisure Sports & Game Room | Outdoor Games & Activities | Balls | Playground Balls,15.19,8.8
eb9c42e4-0cd0-409a-a499-e9eb623205f7,"Nino Percussion Plastic Egg Shaker Set, 4 Pieces - For Classroom Music or Playing at Home, 2-YEAR WARRANTY (NINOSET540)",Musical Instruments | Drums & Percussion | Hand Percussion | Folk & World | Maracas & Shakers | Shakers,77421.88,
f359513f-b6ec-4dbf-981c-d78647b90788,Educational Insights Geosafari Jr. Butterfly Bungalow: Life Science Introduction & STEM Learning,Toys & Games | Learning & Education,10.92,10.4
86e7605c-e410-44bb-b136-f04c992fd3c7,HearthSong Cozy Posy HugglePod Hangout Hanging Play Tent Special with Crescent Stand,Toys & Games | Sports & Outdoor Play | Play Tents & Tunnels,349.0,20.9
1a79cc31-65bb-445c-be4e-7f5950880392,"Losi HD On/Off Switch w/20AWG Wre&Gld PlatedPlugs5IVE-T, LOSB0897",Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Power Plant & Driveline Systems | Electric Motors & Parts,15.99,0.8
fcb1eff1-daa8-4e0c-9f92-9fc279cee17d,"Educational Insights Hot Dots Jr. Let's Master Pre-K Reading Set with Ace Pen, Ages 4 and Up, (100 Self-Checking Lessons)",Toys & Games | Learning & Education | Electronic Learning Products,73335.57,1.1
0dc6679c-e1d8-4450-b4bb-20d9cf8ed64d,Dr. Brown's Learning Loop Infant Teether with Multi-Textured Design,"Baby Products | Baby Care | Pacifiers, Teethers & Teething Relief | Teethers",212988640.31,2.4
d33b3c8f-1053-440d-bc5a-0bf9f6c2aafc,"Rubie's Marvel Avengers: Endgame Child's Deluxe Falcon, Medium",Toys & Games | Dress Up & Pretend Play | Costumes,25.17,1.18
c92cfd78-cdfd-4545-887f-750ed922ec9f,Premium Heavy Weight Assorted Cutlery | Marine Blue | Pack of 24 | Party Supply,"Health & Household | Household Supplies | Paper & Plastic | Disposable Plates, Bowls & Cutlery",3.99,1.6
267be316-1618-467d-b4d0-6aa60ac583fc,"Darice BB0049S, 12 Piece, Ty Beanie Boos Sticker Set, Girly Wiggle Eyes",Toys & Games | Arts & Crafts | Stickers,7869.28,
7a493f04-dbb0-43aa-a388-91297414abb6,"8-Count Round Paper Dessert Plates, Shark Splash","Health & Household | Household Supplies | Paper & Plastic | Disposable Plates, Bowls & Cutlery | Plates",31307.76,
bb2ceff1-dc80-4f3d-b99c-bc29414c324b,"Didax Problem Solving Practice Cards, Grade 3",Toys & Games | Learning & Education | Counting & Math Toys,14.91,1.16
dad98baf-c225-4215-9305-503915aaf50a,"Melissa & Doug Deluxe Scissor Skills Activity Book with 2 Pairs of Child-Safe Scissors, 20 Pages (E-Commerce Packaging, Great Gift for Girls & Boys - Best for 4, 5, 6, & 7 Year Olds)",Toys & Games | Arts & Crafts | Craft Kits | Paper Craft,14.99,13.0
a32e7b86-5fd8-4cf1-b361-aaba2c603137,Anatolian 500Piece Jigsaw Puzzle - Coloring Penguin Family Jigsaw Puzzle,Toys & Games | Puzzles | Jigsaw Puzzles,18.22,14.9
b15d681f-e767-46f2-bbfc-8040e3204959,GoPro Karma Replacement Landing Gear (GoPro Official Accessory),,49.99,14.4
64da07fb-a169-4ed6-a54a-0e0eb35b7523,Alex Bath People Block Squirters Kids Bath Toy,Toys & Games | Baby & Toddler Toys | Bath Toys,948317194.24,2.35
