temperature,city,pression,date
278.42,Paris,1010,mon-fichier
276.92,London,1013,mon-fichier
280.58,Washington,1019,mon-fichier
292.58,Orleans,1024,mon-fichier
278.37,Arrondissement de Rennes,1014,mon-fichier
279.66,Paris,1015,demo-2022-01-05 14:54:48
279.06,London,1015,demo-2022-01-05 14:54:48
265.21,Washington,1022,demo-2022-01-05 14:54:48
286.51,Orleans,1018,demo-2022-01-05 14:54:48
278.12,Arrondissement de Rennes,1018,demo-2022-01-05 14:54:48
